Import,Year,Country,KG,DKK,HS_Code,Commodity_Name
Import,2020,Uoplyst land EU-lande,0,0,07069019,"Knoldselleri, fersk/kølet, i perioden 1 oktober - 30 april"
Import,2020,Uoplyst land 3. Lande,0,0,07069019,"Knoldselleri, fersk/kølet, i perioden 1 oktober - 30 april"
Import,2020,I alt,36326,603559,07069030,"Peberrod Cochlearia armoracia, frisk eller kølet"
Import,2020,Diskretioneret,0,0,07069030,"Peberrod Cochlearia armoracia, frisk eller kølet"
Import,2020,Uoplyst land,0,0,07069030,"Peberrod Cochlearia armoracia, frisk eller kølet"
Import,2020,Uoplyst land EU-lande,0,0,07069030,"Peberrod Cochlearia armoracia, frisk eller kølet"
Import,2020,Uoplyst land 3. Lande,0,0,07069030,"Peberrod Cochlearia armoracia, frisk eller kølet"
Import,2020,I alt,3243314,31227318,07069090,"Rødbeder, skorzoner, radiser og andre spiselige rødder, friske eller kølede (undtagen gulerødder, turnips, knoldselleri og peberrod)"
Import,2020,Diskretioneret,0,0,07069090,"Rødbeder, skorzoner, radiser og andre spiselige rødder, friske eller kølede (undtagen gulerødder, turnips, knoldselleri og peberrod)"
Import,2020,Uoplyst land,0,0,07069090,"Rødbeder, skorzoner, radiser og andre spiselige rødder, friske eller kølede (undtagen gulerødder, turnips, knoldselleri og peberrod)"
Import,2020,Uoplyst land EU-lande,0,0,07069090,"Rødbeder, skorzoner, radiser og andre spiselige rødder, friske eller kølede (undtagen gulerødder, turnips, knoldselleri og peberrod)"
Import,2020,Uoplyst land 3. Lande,0,0,07069090,"Rødbeder, skorzoner, radiser og andre spiselige rødder, friske eller kølede (undtagen gulerødder, turnips, knoldselleri og peberrod)"
Import,2020,I alt,22734706,241730957,07070005,"Agurker og asier, friske eller kølede (undtagen drueagurker)"
Import,2020,Diskretioneret,0,0,07070005,"Agurker og asier, friske eller kølede (undtagen drueagurker)"
Import,2020,Uoplyst land,0,0,07070005,"Agurker og asier, friske eller kølede (undtagen drueagurker)"
Import,2020,Uoplyst land EU-lande,0,0,07070005,"Agurker og asier, friske eller kølede (undtagen drueagurker)"
Import,2020,Uoplyst land 3. Lande,0,0,07070005,"Agurker og asier, friske eller kølede (undtagen drueagurker)"
Import,2020,I alt,0,0,07070010,"Agurker (undt drueagurker) og asier, fersk/kølet, i perioden 1. januar-udgangen af februar"
Import,2020,Diskretioneret,0,0,07070010,"Agurker (undt drueagurker) og asier, fersk/kølet, i perioden 1. januar-udgangen af februar"
Import,2020,Uoplyst land,0,0,07070010,"Agurker (undt drueagurker) og asier, fersk/kølet, i perioden 1. januar-udgangen af februar"
